time,price
12:43:14,21344
12:43:24,21351
12:43:34,21351
12:43:44,21355
12:43:54,21366
12:44:04,21360
12:44:14,21354
12:44:24,21356
12:44:34,21340
12:44:44,21334
12:44:54,21331
12:45:32,21322
12:45:42,21320
12:45:52,21326
12:46:02,21330
12:46:12,21334
12:47:57,21317
12:48:07,21318
12:48:17,21325
12:48:27,21321
12:48:38,21322
12:48:48,21324
12:48:58,21324
12:49:08,21326
12:49:18,21324
12:49:28,21321
12:49:38,21334
12:49:48,21340
12:49:58,21337
12:50:08,21331
12:50:18,21335
12:50:28,21336
12:50:38,21330
12:50:48,21330
12:50:58,21331
12:51:08,21343
12:51:18,21342
12:51:28,21343
12:51:38,21344
12:51:48,21353
12:52:18,21351
12:52:28,21352
12:52:38,21349
12:52:48,21348
12:52:58,21354
12:53:08,21348
12:53:18,21339
12:53:28,21345
12:53:38,21338
12:53:48,21334
12:53:59,21329
12:54:09,21320
12:54:19,21321
12:54:29,21321
12:54:39,21320
12:54:49,21330
12:54:59,21332
12:55:09,21329
12:55:19,21328
12:55:29,21328
12:55:39,21326
12:55:49,21326
12:55:59,21325
12:56:09,21330
12:56:19,21331
12:56:49,21321
12:56:59,21321
12:57:09,21326
12:57:19,21324
12:57:29,21318
12:57:39,21319
12:57:49,21321
12:57:59,21321
12:58:09,21318
12:58:19,21324
12:58:38,21332
12:58:48,21329
12:58:58,21327
12:59:08,21330
12:59:18,21329
13:17:45,21329
13:21:07,21298
13:21:17,21292
13:21:47,21289
13:21:57,21292
13:22:07,21289
13:22:17,21295
13:22:27,21300
13:22:37,21301
13:22:47,21298
13:22:57,21300
13:23:07,21291
13:23:17,21285
13:23:27,21285
13:23:37,21282
13:23:47,21282
13:23:57,21284
13:24:08,21283
13:24:18,21282
13:24:28,21276
13:24:38,21278
13:24:48,21281
13:24:58,21282
13:25:08,21289
13:25:18,21285
13:25:28,21283
13:25:38,21277
13:25:48,21278
13:25:58,21271
13:26:08,21275
13:26:18,21275
13:26:48,21289
13:26:58,21289
13:27:08,21289
13:27:18,21284
13:27:28,21277
13:27:38,21280
13:27:48,21284
13:27:58,21282
13:28:08,21279
13:28:18,21278
13:28:28,21277
13:28:38,21279
13:28:48,21277
13:28:59,21278
13:29:09,21279
13:29:19,21282
13:29:29,21272
13:29:39,21274
13:29:49,21272
13:29:59,21273
13:30:09,21267
13:30:19,21259
13:30:29,21267
13:30:39,21272
13:30:49,21280
13:31:29,21263
13:31:39,21261
13:31:49,21259
13:31:59,21259
13:32:09,21260
13:32:19,21244
13:32:29,21253
13:32:39,21248
13:32:49,21252
13:32:59,21248
13:33:09,21242
13:33:19,21246
13:33:30,21249
13:33:40,21253
13:33:50,21253
13:34:00,21249
13:34:10,21245
13:34:20,21242
13:34:30,21221
13:34:40,21225
13:34:50,21227
13:35:00,21230
13:35:10,21232
13:35:20,21230
13:35:40,21234
13:35:50,21243
13:36:00,21242
13:36:10,21239
13:36:20,21250
13:36:30,21250
13:36:40,21245
13:36:50,21248
13:37:00,21258
13:37:10,21256
13:37:20,21260
13:37:30,21259
13:37:40,21259
13:37:50,21264
13:38:00,21264
13:38:10,21271
13:38:20,21265
13:38:30,21261
13:38:41,21261
13:38:51,21260
13:39:21,21266
13:39:31,21264
13:39:41,21249
13:39:51,21250
13:40:01,21245
13:40:11,21242
13:40:21,21227
13:40:31,21239
13:40:41,21244
13:40:51,21253
13:41:01,21251
13:41:11,21251
13:41:21,21258
13:41:31,21258
13:41:41,21258
13:41:51,21257
13:42:01,21257
13:42:11,21252
13:42:21,21249
13:42:31,21245
13:42:41,21248
13:42:51,21248
13:43:01,21248
13:43:11,21248
13:43:42,21252
13:43:52,21253
13:44:02,21252
13:44:12,21251
13:44:22,21243
13:44:32,21240
13:44:42,21242
13:44:52,21240
13:45:02,21238
13:45:12,21239
13:45:22,21244
13:45:32,21245
13:45:42,21245
13:45:52,21242
13:46:02,21243
13:46:12,21244
13:46:22,21247
13:46:32,21246
13:46:42,21235
13:46:52,21235
13:47:02,21233
13:47:12,21235
13:47:22,21231
13:47:32,21227
13:47:42,21226
13:47:52,21229
13:48:22,21238
13:48:33,21243
13:48:43,21234
13:48:53,21227
13:49:03,21231
13:49:13,21239
13:49:23,21241
13:49:33,21244
13:49:43,21243
13:49:53,21239
13:50:03,21236
13:50:13,21237
13:50:23,21232
13:50:33,21238
13:50:43,21239
13:50:53,21236
13:51:03,21234
13:51:13,21234
13:51:23,21238
13:51:33,21238
13:51:43,21236
13:51:53,21231
13:52:03,21228
13:52:13,21231
13:52:23,21231
13:52:33,21230
13:53:14,21232
13:53:24,21231
13:53:34,21231
13:53:44,21233
13:53:54,21233
13:54:04,21240
13:54:14,21241
13:54:24,21240
13:54:34,21242
13:54:44,21241
13:54:54,21239
13:55:04,21229
13:55:14,21232
13:55:24,21226
13:55:34,21220
13:55:44,21222
13:55:54,21220
13:56:04,21207
13:56:14,21207
13:56:24,21214
13:56:34,21204
13:56:44,21203
13:56:54,21206
13:57:04,21202
13:57:14,21203
13:57:44,21212
13:57:54,21211
13:58:05,21212
13:58:15,21206
13:58:25,21203
13:58:35,21228
13:58:45,21226
13:58:55,21226
13:59:05,21228
13:59:15,21230
13:59:25,21233
13:59:35,21233
13:59:45,21230
13:59:55,21229
14:00:05,21234
14:00:15,21223
14:00:25,21223
14:00:35,21224
14:00:45,21231
14:00:55,21230
14:01:05,21231
14:01:15,21225
14:01:25,21228
14:01:35,21226
14:01:45,21219
14:01:55,21218
14:02:25,21215
14:02:35,21217
14:02:45,21207
14:02:55,21213
14:03:06,21206
14:03:16,21201
14:03:26,21196
14:03:36,21191
14:03:46,21196
14:03:56,21201
14:04:06,21199
14:04:16,21195
14:04:26,21186
14:04:36,21186
14:04:46,21184
14:04:56,21181
14:05:06,21182
14:05:16,21189
14:05:26,21189
14:05:36,21188
14:05:46,21191
14:05:56,21201
14:06:06,21202
14:06:16,21206
14:06:26,21205
14:06:46,21198
14:06:56,21195
14:07:06,21187
14:07:16,21190
14:07:26,21189
14:07:36,21185
14:07:46,21183
14:07:56,21190
14:08:07,21186
14:08:17,21178
14:08:27,21179
14:08:37,21164
14:08:47,21174
14:08:57,21176
14:09:07,21177
14:09:17,21179
14:09:27,21179
14:09:37,21178
14:09:47,21180
14:09:57,21179
14:10:07,21178
14:10:17,21180
14:10:27,21180
14:10:37,21184
14:11:07,21165
14:11:17,21165
14:11:27,21160
14:11:37,21165
14:11:47,21164
14:11:57,21167
14:12:07,21171
14:12:17,21171
14:12:27,21167
14:12:37,21160
14:12:47,21157
14:12:58,21154
14:13:08,21156
14:13:18,21142
14:13:28,21140
14:13:38,21134
14:13:48,21132
14:13:58,21139
14:14:08,21147
14:14:18,21141
14:14:28,21145
14:14:38,21155
14:14:48,21155
14:14:58,21157
14:15:08,21158
14:15:18,21149
14:15:48,21135
14:15:58,21136
14:16:08,21132
14:16:18,21129
14:16:28,21128
14:16:38,21130
14:16:48,21136
14:16:58,21149
14:17:08,21158
14:17:18,21162
14:17:28,21162
14:17:39,21163
14:17:49,21165
14:17:59,21154
14:18:09,21146
14:18:19,21144
14:18:29,21146
14:18:39,21148
14:18:49,21148
14:18:59,21149
14:19:09,21151
14:19:19,21159
14:19:29,21163
14:19:39,21166
14:19:49,21166
14:19:59,21167
14:20:29,21173
14:20:39,21163
14:20:49,21162
14:20:59,21163
14:21:09,21163
14:21:19,21174
14:21:29,21174
14:22:00,21184
14:22:10,21180
14:22:20,21197
14:22:30,21198
14:22:40,21188
14:22:50,21198
14:23:00,21194
14:23:10,21189
14:23:20,21183
14:23:30,21185
14:23:40,21184
14:23:50,21183
14:24:00,21177
14:24:10,21172
14:24:20,21172
14:24:30,21172
14:24:40,21171
14:24:50,21156
14:25:00,21148
14:25:10,21151
14:25:20,21151
14:25:30,21151
14:25:40,21151
14:25:50,21152
14:26:00,21148
14:26:10,21149
14:26:21,21147
14:26:51,21149
14:27:01,21149
14:27:11,21151
14:27:21,21151
14:27:31,21152
14:27:41,21156
14:27:51,21163
14:28:01,21165
14:28:11,21157
14:28:21,21167
14:28:31,21168
14:28:41,21167
14:28:51,21170
14:29:01,21171
14:29:11,21170
14:29:21,21163
14:29:31,21160
14:29:41,21160
14:29:51,21156
14:30:01,21152
14:30:11,21149
14:30:21,21147
14:30:31,21141
14:30:41,21141
14:30:51,21142
14:31:02,21140
14:31:32,21120
14:31:42,21107
14:31:52,21102
14:32:02,21106
14:32:12,21102
14:32:22,21088
14:32:32,21103
14:32:42,21106
14:32:52,21106
14:33:02,21115
14:33:12,21128
14:33:22,21128
14:33:32,21132
14:33:42,21133
14:33:52,21129
14:34:02,21133
14:34:12,21124
14:34:22,21123
14:34:32,21113
14:34:42,21111
14:34:52,21110
14:35:02,21105
14:35:12,21109
14:35:22,21098
14:35:32,21098
14:35:43,21097
14:35:53,21098
14:36:13,21098
14:36:23,21061
14:36:33,21066
14:36:43,21072
14:36:53,21070
14:37:03,21065
14:37:13,21069
14:37:23,21075
14:37:33,21082
14:37:43,21079
14:37:53,21076
14:38:03,21068
14:38:13,21054
14:38:23,21045
14:38:33,21053
14:38:43,21051
14:38:53,21053
14:39:03,21049
14:39:13,21049
14:39:23,21047
14:39:33,21048
14:39:43,21043
14:39:53,21037
14:40:03,21006
14:40:13,21017
14:40:44,21010
14:40:54,21024
14:41:04,21023
14:41:14,21012
14:41:24,20996
14:41:34,21001
14:41:44,20992
14:41:54,20991
14:42:04,20989
14:42:14,20995
14:42:24,20999
14:42:34,21008
14:42:44,21012
14:42:54,21019
14:43:04,21014
14:43:14,21013
14:43:24,21003
14:43:34,21002
14:43:44,21003
14:44:14,21012
14:44:24,21010
14:44:35,21003
14:44:45,21002
14:44:55,20992
14:45:05,20992
14:45:15,20995
09:39:54,19944
09:40:04,19943
09:40:14,19944
09:40:24,19945
09:40:34,19947
09:40:44,19948
09:44:45.165983,19954
2022-08-28 09:46:50.089208,19965
2022-08-28 09:47:00.129551,19978